SOC_2021_2_NAME,YEAR,AI Demand,MEAN SALARY,AI Demand % Change,PRIOR YEAR % CHANGE,LOG_SALARY_ai,SALARY_ai,DURATION_CALC_ai,MEDIAN_LOG_SALARY_ai,MEDIAN_SALARY_ai,LOG_SALARY_non_ai,SALARY_non_ai,DURATION_CALC_non_ai,MEDIAN_LOG_SALARY_non_ai,MEDIAN_SALARY_non_ai,Salary (Log) Premium,SALARY_PREMIUM,job_count,Prevalence: Tuition Assistance,Prevalence: Tuition Assistance (AI),Prevalence: Tuition Assistance (Non-AI),Prevalence: Paid Leave,Prevalence: Paid Leave (AI),Prevalence: Paid Leave (Non-AI),Prevalence: Health and Wellbeing,Prevalence: Health and Wellbeing (AI),Prevalence: Health and Wellbeing (Non-AI),Prevalence: Parental Leave,Prevalence: Parental Leave (AI),Prevalence: Parental Leave (Non-AI),Prevalence: Workplace Culture,Prevalence: Workplace Culture (AI),Prevalence: Workplace Culture (Non-AI),Prevalence: Remote Work,Prevalence: Remote Work (AI),Prevalence: Remote Work (Non-AI),Prevalence: Remote Keywords,Prevalence: Remote Keywords (AI),Prevalence: Remote Keywords (Non-AI),Log Job Count
Educational Instruction and Library Occupations,2020,0.422227956182121,46756.46126629422,-13.933355003233727,26.415859573984847,10.997900749335965,65152.2,63.40555555555556,10.858998997563564,52000.0,10.63007221789574,46730.73296037296,62.439565616828816,10.584562151861805,39520.0,103.4602637112943,139.42045389112172,42631,7.250592291994089,1.1111111111111112,7.276624814492003,16.312073373835943,5.555555555555555,16.357682975666062,3.706223170931951,1.1111111111111112,3.7172269204494595,1.2385353381342217,0.0,1.2437869543709217,7.008984072623209,30.555555555555557,6.909142305246048,5.752181005745088,9.444444444444445,5.736400978227319,4.536604818090122,7.777777777777778,4.522861652257897,10.660336967143055
Educational Instruction and Library Occupations,2021,0.5100268723835987,46610.97463812941,20.794197758806643,-13.933355003233727,11.14528555633625,75098.06060606061,62.48745519713262,11.156250521031495,70000.0,10.642228027119264,46552.7043947189,65.70287005732764,10.571316925111784,39000.0,104.72699445957237,161.3183628802884,54703,8.88251101402117,1.0752688172043012,8.92253417609878,20.035464234137066,5.376344086021505,20.11061296486844,3.475129334771402,4.659498207885305,3.469057768631486,1.9560170374568122,1.4336917562724014,1.9586946935175658,8.752719229292726,36.91756272401434,8.608334558283111,5.914237980323,14.963503649635038,5.867975222031495,4.723689742792899,11.11111111111111,4.690945171247979,10.909673831513109
Educational Instruction and Library Occupations,2022,0.6455203116304953,50613.68147531348,26.5659412441684,20.794197758806643,11.150985882209074,78582.53846153847,58.327586206896555,11.21870077274412,74512.5,10.73421018156311,50542.26227656649,58.56273904207141,10.684645610418787,43680.0,103.88268623025299,155.47887039866956,62895,8.251848318626282,2.2167487684729066,8.291059226423851,22.424676047380554,9.60591133004926,22.507961401206614,3.37228714524207,1.477832512315271,3.384595688841236,2.613880276651562,2.955665024630542,2.611659652098769,12.086811352253758,37.4384236453202,11.922098289298917,4.800869398452982,14.536340852130325,4.738391263088479,3.855632403211702,11.576354679802956,3.8054697626782312,11.049221948272972
Educational Instruction and Library Occupations,2023,0.8161610463783955,55204.88153370762,26.434603477756614,26.5659412441684,11.322098746486663,92398.90243902439,57.734341252699785,11.326595886778735,83000.0,10.812179846029597,55004.70368425659,50.40232111754879,10.772728603839688,47702.0,104.71615259567031,167.983638216509,56729,8.464806360062754,4.535637149028078,8.497138591689476,23.57348093567664,15.550755939524837,23.6394980983187,4.613160817218707,3.8876889848812093,4.619130558418939,2.78340883851293,3.2397408207343417,2.779653787367149,12.832942586684059,35.85313174946004,12.64351473358689,4.002915089141293,15.835140997830802,3.9051578909638343,3.065451532725766,11.447084233261338,2.9964810009597267,10.946040822807591
Healthcare Practitioners and Technical Occupations,2018,0.11257224786056723,80033.33991092068,,,10.989713835392559,71206.73333333334,62.67661691542288,10.71836552166722,45178.0,11.151440598533096,80040.81080013543,65.21134728709119,11.166483697311525,70720.0,98.5497231347687,88.96303350941675,178552,5.241050226264617,1.4925373134328357,5.2452747671725986,9.687373986289709,6.467661691542288,9.691002573576824,1.8997266902639007,1.4925373134328357,1.900185589091174,0.45700972265782513,2.9850746268656714,0.4541606158642228,2.537636094807115,5.472636815920398,2.5343283749460337,3.6585365853658534,,3.6585365853658534,1.9630135758770553,1.4925373134328357,1.963543798464825,12.092635154304022
Healthcare Practitioners and Technical Occupations,2019,0.1063392842072097,88686.06057796322,-5.536856349424346,,11.253337367364097,91906.68421052632,65.64550264550265,11.180078648564056,71688.0,11.23336993407283,88682.90538310818,61.2454771774884,11.269783267149329,78416.0,100.1777510525199,103.63517502442154,177733,6.353350250094242,1.5873015873015872,6.358423827332943,12.532844210135426,9.523809523809524,12.536047402334068,2.360844637743132,2.6455026455026456,2.3605416122200693,0.6042772023203344,1.5873015873015872,0.6032307484341909,5.6174148863745055,7.936507936507936,5.614946154192763,2.3424354667355787,1.6483516483516485,2.3431616586089348,2.481249964834893,1.5873015873015872,2.4822015950975533,12.088037703147956
Healthcare Practitioners and Technical Occupations,2020,0.09097525473071325,89649.37847727556,-14.448121962678007,-5.536856349424346,11.071956829046549,68203.81818181818,62.32631578947368,10.96474405466047,57800.0,11.212240831218491,89659.19215408935,64.6675804426382,11.21519978790556,74250.5,98.74883170738407,76.07007886553593,208848,6.611028116141883,4.2105263157894735,6.613213967353277,15.478242549605456,12.105263157894736,15.48131392038647,2.783363977629664,1.0526315789473684,2.7849399495825704,0.9260323297326286,0.5263157894736842,0.9263963039998466,5.706063740136367,8.947368421052632,5.703112269838683,2.4983528664932164,4.736842105263158,2.496305602487641,2.0464644143108863,4.736842105263158,2.044014607635461,12.249361993628572
Healthcare Practitioners and Technical Occupations,2021,0.11865019456080292,93293.66162235173,30.42029386123457,-14.448121962678007,11.30300093196081,104441.27659574468,65.28673835125448,11.33857207782545,84000.0,11.277126464709161,93280.5408694781,68.12554818492247,11.26446410567173,78000.0,100.22944202437228,111.96469877022169,235145,11.758702077441578,2.867383512544803,11.769264176168539,23.441706181292393,12.186379928315413,23.455076511713063,3.634353271385741,4.301075268817205,3.63356126472116,2.1293244593761296,0.35842293906810035,2.1314281334888827,9.094813838270003,12.186379928315413,9.091141331652942,3.0680499624599005,23.021582733812952,3.044358455269969,2.5835123009207086,24.014336917562723,2.5580543799443087,12.36795762412353
Healthcare Practitioners and Technical Occupations,2022,0.08865490057011921,105290.77956248127,-25.280442313402585,30.42029386123457,11.269691418304532,93799.1320754717,55.34230769230769,11.156250521031495,70000.0,11.415329645358423,105299.91263664582,56.167436828525794,11.407564949312402,90000.0,98.72418728518183,89.07807207698319,293272,13.069096265582802,6.153846153846154,13.075232413689541,26.08534057121034,17.307692307692307,26.093129291633105,4.109495621811833,4.230769230769231,4.109388011412502,3.062344853924002,2.6923076923076925,3.062673201097566,10.745996890258873,25.769230769230766,10.732666238925368,3.3044483352939564,18.992248062015506,3.29059507266417,2.9580048555607084,12.692307692307692,2.949367261409089,12.588855785014637
Healthcare Practitioners and Technical Occupations,2023,0.08317490494296577,103212.22471243337,-6.181266452179013,-25.280442313402585,11.451952615677286,108297.45238095238,51.96218487394958,11.40499407716812,89941.0,11.430485347027188,103207.99637706265,51.09270179709415,11.457010983008471,94562.0,100.18780714902609,104.93126131941928,286144,15.447816484008051,7.9831932773109235,15.454030345638076,31.09203757548647,22.689075630252102,31.099032549159517,4.471524826660702,5.46218487394958,4.470700160192511,5.640167188548424,3.7815126050420167,5.641714409631138,12.044634869156788,21.84873949579832,12.036473526263878,2.8211654292825283,20.33898305084746,2.8065997019353066,2.5675883471259224,14.285714285714285,2.5578336935916,12.564250459593653
