SOC_2021_2_NAME,YEAR,AI Demand,MEAN SALARY,AI Demand % Change,PRIOR YEAR % CHANGE,LOG_SALARY_ai,SALARY_ai,MEDIAN_LOG_SALARY_ai,MEDIAN_SALARY_ai,LOG_SALARY_non_ai,SALARY_non_ai,MEDIAN_LOG_SALARY_non_ai,MEDIAN_SALARY_non_ai,Salary (Log) Premium,SALARY_PREMIUM,job_count,ai_role_count,Prevalence: Tuition Assistance,Prevalence: Tuition Assistance (AI),Prevalence: Tuition Assistance (Non-AI),Prevalence: Paid Leave,Prevalence: Paid Leave (AI),Prevalence: Paid Leave (Non-AI),Prevalence: Health and Wellbeing,Prevalence: Health and Wellbeing (AI),Prevalence: Health and Wellbeing (Non-AI),Prevalence: Parental Leave,Prevalence: Parental Leave (AI),Prevalence: Parental Leave (Non-AI),Prevalence: Workplace Culture,Prevalence: Workplace Culture (AI),Prevalence: Workplace Culture (Non-AI),Prevalence: Remote Work,Prevalence: Remote Work (AI),Prevalence: Remote Work (Non-AI),Prevalence: Remote Keywords,Prevalence: Remote Keywords (AI),Prevalence: Remote Keywords (Non-AI),Log Job Count
Community and Social Service Occupations,2020,0.1101741599220306,53234.720756129514,-53.64422221280562,12.922626552468742,10.470942249153639,36679.666666666664,10.66837383025105,42975.0,10.78415226205503,53244.02134831461,10.73103449857573,45754.0,97.09564548709639,68.88973773546074,23599,26,1804,0,1804,5881,5,5876,892,1,891,948,0,948,1401,6,1395,108.0,0.0,108.0,1755,3,1752,10.06895961723459
Community and Social Service Occupations,2021,0.2025635916849306,55816.66252538526,83.8576230835645,-53.64422221280562,11.076612519346934,75368.45,11.032368087425718,61845.5,10.836001155805922,55769.83750449048,10.768484990022733,47500.0,102.22048115426871,135.14195732403107,30114,61,2840,2,2838,9584,15,9569,1598,11,1587,1323,2,1321,3236,19,3217,183.0,1.0,182.0,2721,8,2713,10.312745458882988
Community and Social Service Occupations,2022,0.2526599477836108,59474.95156818576,24.73117487796155,83.8576230835645,10.966070735260631,61295.485714285714,11.002099841204238,60000.0,10.90001729698863,59469.41418267142,10.819778284410283,50000.0,100.60599388489273,103.07060622121679,35621,90,3947,10,3937,12438,28,12410,2155,6,2149,2071,6,2065,5246,21,5225,215.0,0.0,215.0,3455,17,3438,10.480690630565247
Community and Social Service Occupations,2023,0.2499247214694369,66636.09633385335,-1.082572183746533,24.73117487796155,11.216607878476944,83289.70731707317,11.260391722198877,77683.0,11.015020283143507,66591.59408199179,10.95399444252939,57182.0,101.83011551637296,125.07540698683621,33210,83,4093,6,4087,12723,34,12689,2002,4,1998,2464,11,2453,5426,31,5395,239.0,0.0,239.0,3926,17,3909,10.410606314370792
Community and Social Service Occupations,2024,0.398528510116493,70009.69962257959,59.45941952974376,-1.082572183746533,11.38856295451289,97517.90909090909,11.362102575235644,86000.0,11.042345958673696,69885.00239017555,10.950806546816688,57000.0,103.13535726135481,139.54053910802782,22834,91,2802,7,2795,9067,36,9031,1430,2,1428,1827,13,1814,3376,41,3335,4.0,0.0,4.0,2795,17,2778,10.036005932236273
Computer and Mathematical Occupations,2018,6.381568887303124,91334.12512339586,,,11.61960015752944,120019.51520572451,11.695247021764184,120000.0,11.294346417429203,89951.42847288091,11.379394072345706,87500.0,102.87979249156297,133.42702527721246,137333,8764,3764,236,3528,9647,663,8984,1744,140,1604,735,95,640,8282,764,7518,1.0,0.0,1.0,6307,245,6062,11.830163912476142
Computer and Mathematical Occupations,2019,7.335330372206728,95298.65641623552,14.945564354891205,,11.703155420761371,128171.00845070422,11.767257557740455,128960.0,11.332830236194695,93505.11380926766,11.429543856031177,92000.0,103.26772021506096,137.07379546336716,145215,10652,4063,272,3791,13273,877,12396,2718,222,2496,1336,163,1173,9073,982,8091,490.0,36.0,454.0,7087,381,6706,11.88597068182228
Computer and Mathematical Occupations,2020,7.895580414752225,99079.90832403793,7.63769338417617,14.945564354891205,11.719449583773391,129179.28252788103,11.736069016284437,125000.0,11.375375954390902,97285.55248577971,11.50085288373596,98800.0,103.02472314552098,132.78362431745788,121663,9606,3713,259,3454,12124,794,11330,2470,179,2291,1747,202,1545,8142,1104,7038,915.0,97.0,818.0,12632,955,11677,11.709010206456089
Computer and Mathematical Occupations,2021,9.185663469896062,102094.30147667378,16.339306135536603,7.63769338417617,11.703988666726108,126819.57249712312,11.734467734917464,124800.0,11.409764187639293,100069.11079692729,11.512925464970229,100000.0,102.5787078001626,126.73198701093808,136909,12576,6469,572,5897,21437,1774,19663,4654,496,4158,4598,617,3981,17204,2490,14714,1957.0,206.0,1751.0,26098,2466,23632,11.827071750532761
Computer and Mathematical Occupations,2022,9.670944978523217,108482.98777830134,5.283031652722259,16.339306135536603,11.75919436966629,133827.12774725276,11.78027719771839,130650.0,11.478853458624613,106105.64801571962,11.56171562913966,105000.0,102.44223791210649,126.12629982470507,156448,15130,10364,1083,9281,29991,3000,26991,7055,818,6237,8393,1262,7131,28201,3953,24248,2944.0,327.0,2617.0,37712,4145,33567,11.960478965378373
