Occupation,Year,AI Demand (%),Total Jobs,AI Jobs,Tuition Assistance AI (%),Tuition Assistance Non-AI (%),Tuition Assistance Gap (pp),Paid Leave AI (%),Paid Leave Non-AI (%),Paid Leave Gap (pp),Health & Wellbeing AI (%),Health & Wellbeing Non-AI (%),Health & Wellbeing Gap (pp),Parental Leave AI (%),Parental Leave Non-AI (%),Parental Leave Gap (pp),Workplace Culture AI (%),Workplace Culture Non-AI (%),Workplace Culture Gap (pp),Remote Work AI (%),Remote Work Non-AI (%),Remote Work Gap (pp)
Legal Occupations,2021,0.76,10093,77,1.3,3.6,-2.31,15.58,30.29,-14.71,2.6,3.23,-0.64,2.6,4.28,-1.69,22.08,9.19,12.89,11.69,14.17,-2.48
"Arts, Design, Entertainment, Sports, and Media Occupations",2019,0.73,31044,228,0.44,2.17,-1.74,10.09,8.89,1.2,12.72,1.91,10.8,3.51,1.06,2.45,8.33,4.89,3.44,4.82,3.51,1.31
Educational Instruction and Library Occupations,2023,0.72,43279,313,6.39,8.46,-2.07,16.29,23.8,-7.5,2.56,4.89,-2.33,3.19,2.72,0.47,37.7,12.7,25.0,14.38,2.91,11.46
"Arts, Design, Entertainment, Sports, and Media Occupations",2020,0.7,30107,212,2.83,2.15,0.68,10.85,10.75,0.09,3.3,1.57,1.73,2.36,1.27,1.09,13.68,3.9,9.78,16.04,9.55,6.49
Legal Occupations,2022,0.68,10939,74,5.41,3.79,1.61,27.03,35.1,-8.08,8.11,4.09,4.02,9.46,4.98,4.48,37.84,11.05,26.78,27.03,16.71,10.31
Legal Occupations,2019,0.63,7950,50,2.0,2.58,-0.58,6.0,15.19,-9.19,0.0,2.65,-2.65,2.0,1.81,0.19,8.0,4.61,3.39,2.0,4.34,-2.34
Educational Instruction and Library Occupations,2022,0.6,48948,295,2.37,8.43,-6.06,9.83,22.29,-12.46,1.36,3.36,-2.0,1.69,2.61,-0.91,37.63,12.2,25.42,8.81,3.59,5.22
Office and Administrative Support Occupations,2024,0.6,86103,518,7.92,9.48,-1.56,32.63,41.33,-8.71,6.18,6.49,-0.31,12.36,7.15,5.21,23.55,11.96,11.59,28.76,8.47,20.3
Sales and Related Occupations,2024,0.58,92329,537,8.57,11.7,-3.14,34.64,41.87,-7.23,7.82,7.57,0.25,18.81,10.98,7.83,31.1,16.93,14.17,22.16,6.32,15.84
Educational Instruction and Library Occupations,2021,0.51,42036,214,3.27,8.86,-5.59,7.94,20.02,-12.07,6.07,3.44,2.63,1.87,2.06,-0.19,39.25,8.51,30.75,14.02,4.52,9.5
Educational Instruction and Library Occupations,2019,0.48,35152,170,1.18,5.76,-4.58,4.71,12.3,-7.59,0.59,3.56,-2.97,0.0,0.98,-0.98,18.82,6.54,12.28,2.94,2.69,0.25
Production Occupations,2024,0.47,32056,150,16.0,10.5,5.5,30.0,37.57,-7.57,7.33,5.52,1.82,8.67,5.49,3.18,26.0,9.86,16.14,10.0,2.92,7.08
Legal Occupations,2020,0.45,7918,36,5.56,2.55,3.01,5.56,23.36,-17.8,2.78,2.65,0.13,2.78,2.35,0.43,11.11,5.21,5.9,2.78,9.41,-6.64
Educational Instruction and Library Occupations,2020,0.44,32832,144,0.69,7.22,-6.53,6.25,16.17,-9.92,1.39,3.63,-2.24,0.0,1.31,-1.31,27.08,6.77,20.31,9.03,4.45,4.58
Sales and Related Occupations,2021,0.43,160089,683,4.1,7.95,-3.85,15.52,27.21,-11.7,3.22,3.6,-0.38,5.56,3.8,1.77,18.45,10.83,7.62,21.08,7.26,13.83
Sales and Related Occupations,2022,0.43,167836,719,4.87,8.37,-3.5,19.05,29.58,-10.53,4.59,4.33,0.26,9.46,4.97,4.49,22.81,13.35,9.46,22.39,6.7,15.7
Community and Social Service Occupations,2024,0.4,22834,91,7.69,12.29,-4.6,39.56,39.71,-0.15,2.2,6.28,-4.08,14.29,7.98,6.31,45.05,14.66,30.39,18.68,12.21,6.47
Educational Instruction and Library Occupations,2018,0.39,32106,125,2.4,4.68,-2.28,5.6,8.04,-2.44,0.8,3.38,-2.58,2.4,0.55,1.85,16.0,5.83,10.17,2.4,2.96,-0.56
Office and Administrative Support Occupations,2022,0.39,184015,726,4.55,7.49,-2.95,19.01,31.42,-12.41,3.31,4.36,-1.05,6.2,3.6,2.6,22.04,10.05,11.99,24.79,8.57,16.22
Office and Administrative Support Occupations,2023,0.37,136194,510,10.59,9.15,1.43,28.04,37.23,-9.19,3.92,5.84,-1.91,10.78,5.67,5.12,21.96,11.46,10.5,33.33,8.51,24.82
Sales and Related Occupations,2020,0.35,138784,488,1.64,5.09,-3.45,9.43,18.44,-9.02,1.84,2.57,-0.72,1.43,1.59,-0.16,13.11,7.7,5.41,16.19,6.78,9.41
Legal Occupations,2018,0.34,7094,24,8.33,2.31,6.03,0.0,9.04,-9.04,0.0,2.28,-2.28,0.0,0.96,-0.96,8.33,4.38,3.95,0.0,3.32,-3.32
Production Occupations,2022,0.33,61947,206,13.59,8.89,4.71,16.5,29.34,-12.84,3.4,4.36,-0.96,5.83,3.07,2.76,24.76,7.77,16.99,12.62,2.56,10.06
Sales and Related Occupations,2019,0.32,143313,453,2.21,5.27,-3.07,11.7,14.75,-3.05,3.31,2.42,0.89,1.77,1.2,0.57,15.23,6.42,8.82,8.83,3.52,5.31
Sales and Related Occupations,2023,0.32,140988,446,9.87,10.85,-0.98,30.94,35.86,-4.92,6.73,6.27,0.46,14.35,7.95,6.4,23.32,15.52,7.79,22.87,6.2,16.67
Sales and Related Occupations,2018,0.31,132262,413,3.15,4.87,-1.72,10.65,11.5,-0.84,0.73,2.24,-1.51,0.48,0.85,-0.37,7.02,5.15,1.87,7.75,3.44,4.3
Production Occupations,2023,0.31,49068,153,20.26,10.64,9.62,31.37,34.4,-3.03,4.58,5.31,-0.73,11.11,4.55,6.56,21.57,9.26,12.31,14.38,2.96,11.42
Office and Administrative Support Occupations,2021,0.3,171877,509,3.73,6.37,-2.64,22.4,28.58,-6.18,4.13,3.92,0.21,6.88,2.44,4.44,17.29,7.08,10.21,20.83,7.48,13.34
